#      x     y     z       stnm   zsw
# --------------------------------------------------------------------------------------------
-2.07500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.07500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.12000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.07000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.15500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.09500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.19500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.09000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.10000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.14000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.07000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.07000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.12500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.09500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.17000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.07000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.09500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.10000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.12000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.05500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.08000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.12000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.10500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.11500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.20000000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
-2.10500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
