# AE event loc for green's function
#     x     y    z    gid
# --------------------------------------------------------------------------------------------
2.88000000e-04 0.00000000e+00 5.52500000e-05 249
2.89000000e-04 0.00000000e+00 5.22500000e-05 250
2.89000000e-04 0.00000000e+00 5.52500000e-05 251
2.89000000e-04 0.00000000e+00 5.37500000e-05 252
2.89500000e-04 0.00000000e+00 5.35000000e-05 253
2.88500000e-04 0.00000000e+00 5.30000000e-05 254
2.88500000e-04 0.00000000e+00 5.63500000e-05 255
2.80000000e-04 0.00000000e+00 5.10000000e-05 256
2.89500000e-04 0.00000000e+00 5.50000000e-05 257
2.92000000e-04 0.00000000e+00 4.85000000e-05 258
2.88000000e-04 0.00000000e+00 5.40000000e-05 259
2.91000000e-04 0.00000000e+00 4.95000000e-05 260
2.87000000e-04 0.00000000e+00 5.62500000e-05 261
2.91500000e-04 0.00000000e+00 5.12500000e-05 262
2.92000000e-04 0.00000000e+00 5.00000000e-05 263
