# balldrop event loc for green's function
#     x     y    z    gid
# --------------------------------------------------------------------------------------------
-2.82000000e-04 1.00000000e-06 4.70000000e-05 105
3.27000000e-04 1.00000000e-06 5.10000000e-05 106
2.07000000e-04 1.00000000e-06 5.40000000e-05 107
8.70000000e-05 1.00000000e-06 5.00000000e-05 108
-3.20000000e-05 1.00000000e-06 4.70000000e-05 109
-1.51000000e-04 1.00000000e-06 4.50000000e-05 110
-2.73000000e-04 1.00000000e-06 4.80000000e-05 111
-3.90000000e-04 1.00000000e-06 4.60000000e-05 112
3.37000000e-04 1.00000000e-06 5.00000000e-05 113
2.18000000e-04 1.00000000e-06 4.70000000e-05 114
9.90000000e-05 1.00000000e-06 4.50000000e-05 115
-2.30000000e-05 1.00000000e-06 4.80000000e-05 116
-1.40000000e-04 1.00000000e-06 4.60000000e-05 117
-2.66000000e-04 1.00000000e-06 5.00000000e-05 118
-3.82000000e-04 1.00000000e-06 4.50000000e-05 119
3.49000000e-04 1.00000000e-06 4.50000000e-05 120
2.27000000e-04 1.00000000e-06 4.80000000e-05 121
1.10000000e-04 1.00000000e-06 4.60000000e-05 122
-1.60000000e-05 1.00000000e-06 5.00000000e-05 123
-1.32000000e-04 1.00000000e-06 4.50000000e-05 124
-2.57000000e-04 1.00000000e-06 4.70000000e-05 125
-3.74000000e-04 1.00000000e-06 5.00000000e-05 126
3.60000000e-04 1.00000000e-06 4.60000000e-05 127
2.34000000e-04 1.00000000e-06 5.00000000e-05 128
1.18000000e-04 1.00000000e-06 4.50000000e-05 129
-7.00000000e-06 1.00000000e-06 4.70000000e-05 130
-1.24000000e-04 1.00000000e-06 5.00000000e-05 131
-2.41000000e-04 1.00000000e-06 5.20000000e-05 132
-3.64000000e-04 1.00000000e-06 4.80000000e-05 133
3.68000000e-04 1.00000000e-06 4.50000000e-05 134
2.43000000e-04 1.00000000e-06 4.70000000e-05 135
1.26000000e-04 1.00000000e-06 5.00000000e-05 136
9.00000000e-06 1.00000000e-06 5.20000000e-05 137
-1.14000000e-04 1.00000000e-06 4.80000000e-05 138
-2.35000000e-04 1.00000000e-06 5.10000000e-05 139
-3.51000000e-04 1.00000000e-06 4.30000000e-05 140
3.76000000e-04 1.00000000e-06 5.00000000e-05 141
2.59000000e-04 1.00000000e-06 5.20000000e-05 142
1.36000000e-04 1.00000000e-06 4.80000000e-05 143
1.50000000e-05 1.00000000e-06 5.10000000e-05 144
-1.01000000e-04 1.00000000e-06 4.30000000e-05 145
-2.23000000e-04 1.00000000e-06 4.90000000e-05 146
-3.38000000e-04 1.00000000e-06 4.80000000e-05 147
3.86000000e-04 1.00000000e-06 4.80000000e-05 148
2.65000000e-04 1.00000000e-06 5.10000000e-05 149
1.49000000e-04 1.00000000e-06 4.30000000e-05 150
2.70000000e-05 1.00000000e-06 4.90000000e-05 151
-8.80000000e-05 1.00000000e-06 4.80000000e-05 152
-2.15000000e-04 1.00000000e-06 5.20000000e-05 153
-3.35000000e-04 1.00000000e-06 4.50000000e-05 154
2.77000000e-04 1.00000000e-06 4.90000000e-05 155
1.62000000e-04 1.00000000e-06 4.80000000e-05 156
3.50000000e-05 1.00000000e-06 5.20000000e-05 157
-8.50000000e-05 1.00000000e-06 4.50000000e-05 158
-2.05000000e-04 1.00000000e-06 4.70000000e-05 159
