,t,loc_slip,loc_traction
211,2.063153e-06,3.9335708e-07,2819820.0
212,2.072931e-06,3.9363306e-07,2827881.8
213,2.082709e-06,3.9391196e-07,2836064.2
214,2.092487e-06,3.9419254e-07,2844331.8
215,2.102265e-06,3.944736e-07,2852648.0
216,2.112043e-06,3.9475034e-07,2860871.8
217,2.121821e-06,3.9502245e-07,2868992.0
218,2.131599e-06,3.952877e-07,2876939.5
219,2.141377e-06,3.955451e-07,2884682.0
220,2.151155e-06,3.9579024e-07,2892083.8
221,2.160933e-06,3.9601966e-07,2899035.0
222,2.170711e-06,3.9622444e-07,2905260.8
223,2.180489e-06,3.9639718e-07,2910527.2
224,2.190267e-06,3.9652915e-07,2914559.5
225,2.200045e-06,3.9661546e-07,2917201.2
226,2.209823e-06,3.966621e-07,2918629.8
227,2.219601e-06,3.9667842e-07,2919130.2
228,2.229379e-06,3.96683e-07,2917826.5
229,2.239157e-06,3.96683e-07,2911134.8
230,2.248935e-06,3.96683e-07,2904061.8
231,2.258713e-06,3.96683e-07,2896101.8
232,2.268491e-06,3.96683e-07,2888917.2
233,2.278269e-06,3.96683e-07,2882088.2
234,2.288047e-06,3.96683e-07,2875686.5
235,2.297825e-06,3.96683e-07,2870147.8
236,2.307603e-06,3.96683e-07,2865453.8
237,2.317381e-06,3.96683e-07,2862265.5
238,2.327159e-06,3.96683e-07,2859993.2
239,2.336937e-06,3.96683e-07,2858597.0
240,2.346715e-06,3.96683e-07,2857965.8
241,2.356493e-06,3.96683e-07,2858060.0
242,2.366271e-06,3.96683e-07,2858511.5
243,2.376049e-06,3.96683e-07,2859519.0
244,2.385827e-06,3.96683e-07,2861208.5
245,2.395605e-06,3.96683e-07,2863209.2
246,2.405383e-06,3.96683e-07,2866709.0
247,2.415161e-06,3.96683e-07,2874859.0
248,2.424939e-06,3.96683e-07,2886183.2
249,2.434717e-06,3.96683e-07,2898855.0
250,2.444495e-06,3.96683e-07,2913077.5
251,2.454273e-06,3.9668515e-07,2919336.2
252,2.464051e-06,3.967018e-07,2919846.8
253,2.473829e-06,3.96722e-07,2920466.2
254,2.483607e-06,3.9674202e-07,2921080.5
255,2.493385e-06,3.9676306e-07,2921725.8
256,2.503162e-06,3.967852e-07,2922406.0
