gougeevent_id,M0_mean,Tw_mean,Mw_mean,hat_sn_patch,hat_sn_background,delsig_withmargin_try,slip_try,initialstress_fraction,delsigma_factor,fp_patch,hat_fr,hat_fp_background,hat_fr_background,dc_try,hat_ds_factor_rapidnuc_nuc,hat_ds_factor_rapidnuc_patch,tau_c_nuc,tau_r_nuc,tau_c_patch,tau_r_patch,tau_c_background,tau_r_background,tau_0_nuc,tau_0_patch,tau_0_background,GIIC_nuc,GIIC_patch,GIIC_background,Sratio_nuc,Sratio_patch,Ainit_nuc,Ainit_patch,Anuc_nuc,Anuc_patch,rnuc_nuc,rnuc_patch
52,4.81137950e-01,2.60154879e-06,-6.28182026e+00,6.00000000e+06,2.00000000e+06,3.09932544e+06,2.38823039e-07,9.25000000e-01,4.60000000e-01,5.81205352e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.26675464e-08,10000,10000,3.48723211e+06,1.80000000e+06,3.48723211e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.29020350e+06,3.22568970e+06,2.80000000e+05,3.59950273e-02,3.59950273e-02,0.00000000e+00,0,1.83449742e-01,3.82000000e+00,3.83491149e+00,3.62539580e-06,3.63954765e-06,1.07424361e+00,1.07633824e+00
61,7.39039541e-01,2.61426038e-06,-6.15755488e+00,6.00000000e+06,2.00000000e+06,4.76063892e+06,3.66837970e-07,9.25000000e-01,6.00000000e-01,8.38987992e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.51996733e-08,10000,10000,5.03392795e+06,1.80000000e+06,5.03392795e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.74951102e+06,4.65638335e+06,2.80000000e+05,8.92558831e-02,8.92558831e-02,0.00000000e+00,0,1.32175744e-01,3.82000000e+00,3.82593574e+00,1.65166546e-06,1.65423191e-06,7.25080302e-01,7.25643419e-01
62,5.90031096e-01,2.54143912e-06,-6.22275007e+00,6.00000000e+06,2.00000000e+06,3.80077769e+06,2.92874464e-07,9.25000000e-01,6.00000000e-01,7.35219210e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.82237348e-08,10000,10000,4.41131526e+06,1.80000000e+06,4.41131526e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.16207595e+06,4.08046662e+06,2.80000000e+05,6.29636873e-02,6.29636873e-02,0.00000000e+00,0,1.45079363e-01,3.82000000e+00,3.82771170e+00,1.93336042e-06,1.93726343e-06,7.84479277e-01,7.85270719e-01
69,2.57739833e-01,2.11211186e-06,-6.46254564e+00,6.00000000e+06,2.00000000e+06,1.66027149e+06,1.27934639e-07,9.25000000e-01,6.00000000e-01,5.03813134e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,2.93389676e-08,10000,10000,3.02287881e+06,1.80000000e+06,3.02287881e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.85208615e+06,2.79616290e+06,2.80000000e+05,1.79390008e-02,1.79390008e-02,0.00000000e+00,0,2.27589194e-01,3.82000000e+00,3.84732966e+00,3.26311644e-06,3.28646195e-06,1.01915761e+00,1.02279682e+00
72,8.08650229e-01,2.60603224e-06,-6.13149286e+00,6.00000000e+06,2.00000000e+06,5.20904707e+06,4.01390713e-07,9.25000000e-01,4.30000000e-01,7.27908151e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.82629312e-08,10000,10000,4.36744891e+06,1.80000000e+06,4.36744891e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.12068805e+06,4.03989024e+06,2.80000000e+05,7.47935496e-02,7.47935496e-02,0.00000000e+00,0,1.46238714e-01,3.82000000e+00,3.82788612e+00,2.91938111e-06,2.92540796e-06,9.63985409e-01,9.64979935e-01
77,7.76233084e-01,2.63266748e-06,-6.14333857e+00,6.00000000e+06,2.00000000e+06,5.00022696e+06,3.85299775e-07,9.25000000e-01,6.00000000e-01,8.64889401e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.68500945e-08,10000,10000,5.18933640e+06,1.80000000e+06,5.18933640e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.89613890e+06,4.80013617e+06,2.80000000e+05,9.63420475e-02,9.63420475e-02,0.00000000e+00,0,1.29727522e-01,3.82000000e+00,3.82563194e+00,1.59493425e-06,1.59728571e-06,7.12519009e-01,7.13044060e-01
85,4.82849464e-01,2.29274782e-06,-6.28079216e+00,6.00000000e+06,2.00000000e+06,3.11035043e+06,2.39672585e-07,9.25000000e-01,6.00000000e-01,6.60578425e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.27585485e-08,10000,10000,3.96347055e+06,1.80000000e+06,3.96347055e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.73953446e+06,3.66621026e+06,2.80000000e+05,4.62534302e-02,4.62534302e-02,0.00000000e+00,0,1.59285531e-01,3.82000000e+00,3.83002660e+00,2.21438783e-06,2.22020008e-06,8.39560325e-01,8.40661426e-01
88,1.25518640e+00,2.41338329e-06,-6.00419452e+00,6.00000000e+06,2.00000000e+06,8.08547974e+06,6.23038424e-07,9.25000000e-01,6.00000000e-01,1.19843024e+00,3.00000000e-01,4.00000000e-01,4.00000000e-01,7.58509172e-08,10000,10000,7.19058145e+06,1.80000000e+06,7.19058145e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,6.78431360e+06,6.65128784e+06,2.80000000e+05,2.04440274e-01,2.04440274e-01,0.00000000e+00,0,1.11165040e-01,3.82000000e+00,3.82364929e+00,1.12243242e-06,1.12350469e-06,5.97730153e-01,5.98015594e-01
89,4.90819063e-01,2.47763159e-06,-6.27605239e+00,6.00000000e+06,2.00000000e+06,3.16168785e+06,2.43628465e-07,9.25000000e-01,6.00000000e-01,6.66128416e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.31806082e-08,10000,10000,3.99677050e+06,1.80000000e+06,3.99677050e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.77095296e+06,3.69701271e+06,2.80000000e+05,4.74289431e-02,4.74289431e-02,0.00000000e+00,0,1.58015698e-01,3.82000000e+00,3.82980360e+00,2.19037205e-06,2.19599339e-06,8.34995256e-01,8.36066030e-01
95,9.09031463e-01,2.77323584e-06,-6.09761406e+00,6.00000000e+06,2.00000000e+06,5.85566851e+06,4.51217070e-07,9.25000000e-01,6.00000000e-01,9.57369568e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.25004654e-08,10000,10000,5.74421741e+06,1.80000000e+06,5.74421741e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.41966913e+06,5.31340111e+06,2.80000000e+05,1.23257712e-01,1.23257712e-01,0.00000000e+00,0,1.22620872e-01,3.82000000e+00,3.82480733e+00,1.42349047e-06,1.42528188e-06,6.73135268e-01,6.73558693e-01
99,8.24629041e-01,2.95289372e-06,-6.12582758e+00,6.00000000e+06,2.00000000e+06,5.31197709e+06,4.09322136e-07,9.25000000e-01,6.00000000e-01,8.98592118e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.89509865e-08,10000,10000,5.39155271e+06,1.80000000e+06,5.39155271e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.08692998e+06,4.98718625e+06,2.80000000e+05,1.05862788e-01,1.05862788e-01,0.00000000e+00,0,1.26872552e-01,3.82000000e+00,3.82529055e+00,1.52731079e-06,1.52942605e-06,6.97250401e-01,6.97733067e-01
100,6.96647490e-01,2.91575869e-06,-6.17465795e+00,6.00000000e+06,2.00000000e+06,4.48756389e+06,3.45795775e-07,9.25000000e-01,6.00000000e-01,8.09466367e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.32774890e-08,10000,10000,4.85679820e+06,1.80000000e+06,4.85679820e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.58238910e+06,4.49253833e+06,2.80000000e+05,8.14292662e-02,8.14292662e-02,0.00000000e+00,0,1.35284932e-01,3.82000000e+00,3.82633649e+00,1.72212119e-06,1.72497779e-06,7.40383820e-01,7.40997628e-01
