#      x     y     z       stnm   zsw
# --------------------------------------------------------------------------------------------
2.88000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.93000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.88000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.90500000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.85500000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.93000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.89000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.93000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.92500000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.92000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.89500000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.90000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.90500000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.90000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
2.90000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
