# AE event loc for green's function
#     x     y    z    gid
# --------------------------------------------------------------------------------------------
-2.11000000e-04 0.00000000e+00 4.67500000e-05 48
-2.12000000e-04 0.00000000e+00 4.67500000e-05 49
-2.07000000e-04 0.00000000e+00 4.42500000e-05 50
-2.12000000e-04 0.00000000e+00 3.90000000e-05 51
-2.09500000e-04 0.00000000e+00 4.60000000e-05 52
-2.14500000e-04 0.00000000e+00 5.27500000e-05 53
-2.07000000e-04 0.00000000e+00 4.65000000e-05 54
-2.11000000e-04 0.00000000e+00 4.72500000e-05 55
-2.07000000e-04 0.00000000e+00 4.47500000e-05 56
-2.07500000e-04 0.00000000e+00 4.82500000e-05 57
-2.08000000e-04 0.00000000e+00 4.72500000e-05 58
-2.10500000e-04 0.00000000e+00 4.82500000e-05 59
-2.10000000e-04 0.00000000e+00 4.62500000e-05 60
-2.09500000e-04 0.00000000e+00 4.90000000e-05 61
-2.10000000e-04 0.00000000e+00 4.42500000e-05 62
-2.10000000e-04 0.00000000e+00 4.67500000e-05 63
3.90000000e-05 0.00000000e+00 4.67500000e-05 64
3.80000000e-05 0.00000000e+00 4.67500000e-05 65
4.30000000e-05 0.00000000e+00 4.42500000e-05 66
3.80000000e-05 0.00000000e+00 3.90000000e-05 67
4.05000000e-05 0.00000000e+00 4.60000000e-05 68
3.55000000e-05 0.00000000e+00 5.27500000e-05 69
4.30000000e-05 0.00000000e+00 4.65000000e-05 70
3.90000000e-05 0.00000000e+00 4.72500000e-05 71
4.30000000e-05 0.00000000e+00 4.47500000e-05 72
4.25000000e-05 0.00000000e+00 4.82500000e-05 73
4.20000000e-05 0.00000000e+00 4.72500000e-05 74
3.95000000e-05 0.00000000e+00 4.82500000e-05 75
4.00000000e-05 0.00000000e+00 4.62500000e-05 76
4.05000000e-05 0.00000000e+00 4.90000000e-05 77
4.00000000e-05 0.00000000e+00 4.42500000e-05 78
4.00000000e-05 0.00000000e+00 4.67500000e-05 79
2.89000000e-04 0.00000000e+00 4.67500000e-05 80
2.88000000e-04 0.00000000e+00 4.67500000e-05 81
2.93000000e-04 0.00000000e+00 4.42500000e-05 82
2.88000000e-04 0.00000000e+00 3.90000000e-05 83
2.90500000e-04 0.00000000e+00 4.60000000e-05 84
2.85500000e-04 0.00000000e+00 5.27500000e-05 85
2.93000000e-04 0.00000000e+00 4.65000000e-05 86
2.89000000e-04 0.00000000e+00 4.72500000e-05 87
2.93000000e-04 0.00000000e+00 4.47500000e-05 88
2.92500000e-04 0.00000000e+00 4.82500000e-05 89
2.92000000e-04 0.00000000e+00 4.72500000e-05 90
2.89500000e-04 0.00000000e+00 4.82500000e-05 91
2.90000000e-04 0.00000000e+00 4.62500000e-05 92
2.90500000e-04 0.00000000e+00 4.90000000e-05 93
2.90000000e-04 0.00000000e+00 4.42500000e-05 94
2.90000000e-04 0.00000000e+00 4.67500000e-05 95
