event_id,location,event_onset_time,stickslip_id,event_label,Q_correction_quart,Nvalidsensors,M0,M0_std,Mw,Tw,Tw_std,cumulativelocalslip[mm],localslipvelocity[mm/s]
61,1.75,116.24032,25,F,50,4,0.73903954,0.19271599,-6.1542215,2.6142604e-06,1.964233e-07,0.00568126647211015,1.6137239588028
62,1.75,120.77836,26,A,50,4,0.5900311,0.16441501,-6.2194167,2.5414391e-06,1.7725311e-07,0.0203589058744478,1.23406919589358
69,1.75,123.92172,27,A,50,4,0.25773983,0.032904537,-6.4592123,2.1121119e-06,1.7649421e-07,0.030686468264762,0.0604548957486128
72,1.75,130.73455,29,F,50,4,0.80865023,0.18061561,-6.1281595,2.6060322e-06,1.7373982e-07,0.0027417775060311,1.24166107360644
75,1.75,138.54831,31,F,50,3,0.28878938,0.046082931,-6.4262792,2.5237942e-06,3.4672283e-07,0.00138149255095543,2.74212233121211
76,1.75,138.54953,31,A,50,2,0.79053343,0.30440396,-6.1347198,2.4938429e-06,7.4369539e-08,0.00664283848949748,5.31619742677515
77,1.75,138.55082,31,A,50,4,0.77623308,0.35495121,-6.1400052,2.6326675e-06,1.8497775e-07,0.01268459483316,3.26002649458959
81,1.75,146.53696,33,F,50,2,0.049561157,0.014927849,-6.9365724,2.6626568e-06,1.4117857e-07,0.000939748339340485,1.50817019769361
85,1.75,151.69923,34,F,50,4,0.48284946,0.13102434,-6.2774588,2.2927478e-06,2.07269e-07,0.0027158570780354,0.958484917357008
88,1.75,161.09724,35,F,50,4,1.2551864,0.64373389,-6.0008612,2.4133833e-06,2.3009714e-07,0.00198803360061064,2.46544924117365
89,1.75,161.12013,35,A,50,4,0.49081906,0.1294117,-6.2727191,2.4776316e-06,1.568338e-07,0.0337255430769133,0.324377115385118
95,1.75,167.28681,37,F,50,4,0.90903146,0.26544312,-6.0942807,2.7732358e-06,1.1816277e-07,0.00355677359402093,1.68085973260641
99,1.75,175.38555,39,F,50,4,0.82462904,0.24324974,-6.1224942,2.9528937e-06,2.3243161e-07,0.00341512972804467,2.41759802653397
100,1.75,175.39123,39,A,50,4,0.69664749,0.34534353,-6.1713246,2.9157587e-06,4.4875878e-07,0.0192194326661223,1.53647555877826
102,1.75,178.95463,40,A,50,2,0.083007081,0.017322177,-6.7872566,2.2141178e-06,4.3528632e-07,0.0224021396300237,1.42361981042678
109,1.75,190.16055,42,A,50,4,0.69626779,0.30266897,-6.1714825,2.7975689e-06,1.8553868e-07,0.0237663598970148,1.31392573813246
110,1.75,193.77201,43,F,50,2,0.053676393,0.021211208,-6.9134778,2.7088429e-06,6.2329442e-08,0.00103748705888007,1.93177420779281
111,1.75,193.78425,43,A,50,3,0.85440716,0.40217559,-6.1122234,2.8396949e-06,1.6348089e-07,0.0249069344658367,1.15503005497427
118,1.75,211.10242,46,A,50,4,0.076078949,0.010126163,-6.8124903,2.0016067e-06,2.2213142e-07,0.0253649600668648,0.942089184536605
120,1.75,225.89072,49,A,50,4,0.77747744,0.35116279,-6.1395415,2.7598532e-06,2.4520127e-07,0.0245310515004688,1.00555320871983
126,1.75,235.63152,52,F,50,4,0.017021253,0.0025380497,-7.2460056,1.9915588e-06,2.9550298e-07,0.00671425232710292,1.13221111651612
128,1.75,241.51294,53,A,50,4,0.012926986,0.002200361,-7.3256685,2.2313251e-06,2.3550602e-07,0.0373117148396377,-0.0614421172099634
129,1.75,245.07106,54,F,50,4,1.1312377,0.40641326,-6.0309641,2.626343e-06,1.7429437e-07,0.00256596294647841,1.11964161794852
131,1.75,248.90204,55,F,50,4,0.71643169,0.24111363,-6.1632168,2.4967719e-06,8.4270308e-08,0.0022737951052457,1.9748943123684
