index,expr_id,datacase,gougeevent_id,AEsensor,Qinv_quart,M0,Tw,Tshift,stf_type,peakSTFamp,fitting_flag,error_fraction,error_thresh,RMSE,SNR_sensor,SNR_thresh,validflag
fb03-087__OL08,fb03-087,fb03-087__0038,38,8,50,2.02432821e-01,2.03306563e-06,9.17318131e-09,cosine,1.99140468e+05,True,1.27943264e-02,6.00000000e-02,2.54786814e+03,1.35310507e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0038,38,22,50,3.97370673e-01,2.27320699e-06,-4.95790736e-08,cosine,3.49612399e+05,True,2.86185875e-02,6.00000000e-02,1.00054130e+04,1.86576659e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0040,40,23,50,1.77913846e-01,2.13304201e-06,-2.51739243e-08,cosine,1.66817010e+05,True,1.66173752e-02,6.00000000e-02,2.77206085e+03,3.05713323e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0040,40,7,50,1.84095289e-01,2.41554683e-06,-3.62762143e-08,cosine,1.52425353e+05,True,9.80024890e-03,6.00000000e-02,1.49380640e+03,2.89502550e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0040,40,8,50,1.89514553e-01,1.92794695e-06,-1.73109799e-09,cosine,1.96597269e+05,True,5.43381228e-03,6.00000000e-02,1.06827265e+03,2.42234792e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0040,40,22,50,2.60631692e-01,2.16901589e-06,-5.79784628e-08,cosine,2.40322529e+05,True,2.21410286e-02,6.00000000e-02,5.32098799e+03,2.51471588e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0043,43,23,50,1.39559361e-01,2.36376053e-06,-2.94278529e-08,cosine,1.18082487e+05,True,1.15211915e-02,6.00000000e-02,1.36045095e+03,1.97305424e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0043,43,7,50,1.94679042e-01,2.62906701e-06,-8.09846795e-08,cosine,1.48097436e+05,True,1.15738396e-02,6.00000000e-02,1.71405597e+03,2.97749883e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0043,43,8,50,2.48948167e-01,2.22380597e-06,-4.14252209e-08,cosine,2.23893784e+05,True,1.39263343e-02,6.00000000e-02,3.11801970e+03,1.55585543e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0043,43,22,50,1.61570381e-01,2.23955271e-06,-4.38218073e-09,cosine,1.44288081e+05,True,6.00882128e-03,6.00000000e-02,8.67001291e+02,9.15599586e+00,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0044,44,23,50,4.95133910e-02,2.82836387e-06,-1.54519351e-07,cosine,3.50120266e+04,True,3.91106448e-02,6.00000000e-02,1.36934294e+03,1.53917618e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0044,44,7,50,7.51727444e-02,2.60667184e-06,-1.96584851e-07,cosine,5.76771621e+04,True,2.80907507e-02,6.00000000e-02,1.62019478e+03,2.20990386e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0044,44,8,50,6.54364077e-02,2.12119175e-06,6.46873156e-09,cosine,6.16977768e+04,True,1.64503432e-02,6.00000000e-02,1.01494960e+03,5.63790484e+00,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0044,44,22,50,8.76480165e-02,2.23703256e-06,-8.13360655e-08,cosine,7.83609663e+04,True,4.61260557e-02,6.00000000e-02,3.61448229e+03,9.56221838e+00,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0049,49,23,50,3.92794158e-02,2.67599122e-06,-1.66003738e-07,cosine,2.93569094e+04,True,4.43001967e-02,6.00000000e-02,1.30051686e+03,6.08950025e+00,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0049,49,7,50,8.02204612e-02,2.56426633e-06,-1.87357737e-07,cosine,6.25679400e+04,True,2.70757040e-02,6.00000000e-02,1.69407102e+03,7.57713182e+00,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0049,49,8,50,5.85226466e-02,2.04929641e-06,-3.12158915e-08,cosine,5.71148675e+04,True,2.46481206e-02,6.00000000e-02,1.40777415e+03,4.47212214e+00,4.50000000e+00,0
