# Datasheet of gouge-mediated seismic event time:  ,,,,,,,,
# This pick time is a crude estimation using p06_search_gougeevents.m. We need to relocate the hypocenter and event origin time from the picks listed below.,,,,,,,,
"# expr_id: index of experiments, event_id: index of stick-slip main events, gouge_loc [m]: location of gouge patch,  picktime [s]: event time of seismic event, eventtype: Ordinary or LFE, rup_type: nucleation location",,,,,,,,
expr_id,event_id,gouge_loc,picktime,AEtype,rup_type, gougeevent_id,doublecheck,old_gougeevent_id
fb03-087,21,0.75,100.6006,Ordinary,3,51,1,42
fb03-087,21,1.75,100.60335,Ordinary,3,52,1,43
fb03-087,22,2.75,105.9759,LFE,2,53,1,44
fb03-087,23,3.25,108.9514,Ordinary,3,54,1,45
fb03-087,23,1.75,108.9568,Ordinary,3,55,1,46
fb03-087,23,2.75,108.9583,Ordinary,3,56,1,47
fb03-087,23,2.75,108.9612,Ordinary,3,57,1,48
fb03-087,24,2.75,111.8541,LFE,2,58,1,49
fb03-087,25,1.75,116.23725,Ordinary,1,59,1,215
fb03-087,25,1.25,116.2386,LFE,1,60,1,50
fb03-087,25,1.75,116.2403,Ordinary,1,61,1,51
fb03-087,26,1.75,120.77835,Ordinary,1,62,1,52
fb03-087,26,0.75,120.7843,Ordinary,1,63,1,53
fb03-087,27,3.25,123.88305,Ordinary,1,64,1,216
fb03-087,27,2.75,123.8879,Ordinary,1,65,1,54
fb03-087,27,2.25,123.8888,Ordinary,1,66,1,55
fb03-087,27,0.75,123.9008,Ordinary,1,67,1,56
fb03-087,27,3.25,123.90585,Ordinary,1,68,1,57
fb03-087,27,1.75,123.9217,Ordinary,1,69,1,58
fb03-087,28,2.75,126.8502,LFE,2,70,1,59
fb03-087,29,3.25,130.72715,Ordinary,1,71,1,60
fb03-087,29,1.75,130.7345,Ordinary,1,72,1,61
fb03-087,30,2.25,135.4104,Ordinary,2,73,1,62
fb03-087,30,2.75,135.4123,LFE,2,74,1,63
fb03-087,31,1.75,138.5483,Ordinary,3,75,1,217
fb03-087,31,1.75,138.5495,Ordinary,3,76,1,218
fb03-087,31,1.75,138.5508,Ordinary,3,77,1,219
fb03-087,32,0.75,142.0484,Ordinary,2,78,1,64
fb03-087,32,2.75,142.0548,LFE,2,79,1,65
fb03-087,32,2.75,142.06585,Ordinary,2,80,1,220
fb03-087,33,1.75,146.5368,Ordinary,1,81,1,207
fb03-087,33,1.25,146.5386,LFE,1,82,1,66
fb03-087,33,0.75,146.54075,Ordinary,1,83,1,221
fb03-087,34,0.75,151.69225,Ordinary,2,84,1,222
fb03-087,34,1.75,151.6992,Ordinary,2,85,1,67
fb03-087,34,2.75,151.7031,LFE,2,86,1,68
fb03-087,34,1.25,151.7202,Ordinary,2,87,1,69
fb03-087,35,1.75,161.0972,Ordinary,3,88,1,70
fb03-087,35,1.75,161.1201,Ordinary,3,89,1,71
fb03-087,35,2.75,161.12755,Ordinary,3,90,1,72
fb03-087,36,2.75,164.1048,LFE,2,91,1,73
fb03-087,36,3.25,164.1099,Ordinary,2,92,1,74
fb03-087,36,2.75,164.1184,Ordinary,2,93,1,75
fb03-087,37,3.25,167.2857,Ordinary,1,94,1,76
fb03-087,37,1.75,167.2868,Ordinary,1,95,1,77
fb03-087,38,0.75,172.2182,Ordinary,2,96,1,78
fb03-087,38,2.75,172.2403,LFE,2,97,1,79
fb03-087,39,2.25,175.3845,Ordinary,3,98,1,80
fb03-087,39,1.75,175.3855,Ordinary,3,99,1,81
fb03-087,39,1.75,175.3911,Ordinary,3,100,1,82
fb03-087,40,2.75,178.9464,LFE,2,101,1,83
fb03-087,40,1.75,178.9546,Ordinary,2,102,1,208
fb03-087,41,2.75,186.2612,Ordinary,3,103,1,84
fb03-087,41,0.75,186.2631,Ordinary,3,104,1,85
fb03-087,41,0.75,186.2679,Ordinary,3,105,1,86
fb03-087,41,2.75,186.28,Ordinary,3,106,1,87
fb03-087,41,2.75,186.28615,Ordinary,3,107,1,88
fb03-087,41,2.75,186.2869,Ordinary,3,108,1,89
fb03-087,42,1.75,190.1604,Ordinary,2,109,1,90
fb03-087,43,1.75,193.772,Ordinary,1,110,1,209
fb03-087,43,1.75,193.7842,Ordinary,1,111,1,91
fb03-087,44,0.75,197.6219,Ordinary,2,112,1,92
fb03-087,44,2.75,197.6244,LFE,2,113,1,93
fb03-087,44,2.75,197.6325,Ordinary,2,114,1,94
fb03-087,45,2.75,207.42905,Ordinary,1,115,1,223
fb03-087,45,3.25,207.4609,Ordinary,1,116,1,95
fb03-087,46,2.25,211.0911,LFE,2,117,1,96
fb03-087,46,1.75,211.1024,Ordinary,2,118,1,97
fb03-087,48,0.75,220.2576,Ordinary,2,119,1,98
fb03-087,49,1.75,225.8907,Ordinary,1,120,1,99
fb03-087,50,0.75,228.7646,Ordinary,2,121,1,100
fb03-087,50,2.25,228.78745,Ordinary,2,122,1,224
fb03-087,51,2.75,232.20575,Ordinary,1,123,1,225
fb03-087,51,0.75,232.2121,Ordinary,1,124,1,101
fb03-087,52,2.75,235.6308,LFE,2,125,1,102
fb03-087,52,1.75,235.6315,Ordinary,2,126,1,210
fb03-087,53,3.25,241.467,Ordinary,1,127,1,103
fb03-087,53,1.75,241.5129,Ordinary,1,128,1,211
fb03-087,54,1.75,245.07105,Ordinary,2,129,1,104
fb03-087,54,2.75,245.0747,LFE,2,130,1,105
fb03-087,55,1.75,248.902,Ordinary,1,131,1,106
fb03-087,55,2.25,248.9081,Ordinary,1,132,1,107
