t,LDV
0.0012865,2.98455810546875e-05
0.0012866,2.20970458984375e-05
0.0012867,3.36264953613281e-05
0.0012868,3.87577514648437e-05
0.0012869,2.35257873535156e-05
0.001287,4.69608764648438e-05
0.0012871,3.31768188476563e-05
0.0012872,1.55989990234375e-05
0.0012873,3.6570556640625e-05
0.0012874,2.65579528808594e-05
0.0012875,4.50399475097656e-05
0.0012876,3.02470703125e-05
0.0012877,3.31468200683594e-05
0.0012878,4.67619323730469e-05
0.0012879,3.7342529296875e-05
0.001288,3.10157775878906e-05
0.0012881,3.40556945800781e-05
0.0012882,4.0056884765625e-05
0.0012883,2.28313903808594e-05
0.0012884,2.41251220703125e-05
0.0012885,4.97384643554688e-05
0.0012886,3.21263427734375e-05
0.0012887,4.58892822265625e-05
0.0012888,3.28702087402344e-05
0.0012889,3.41981506347656e-05
0.001289,4.06200561523438e-05
0.0012891,2.6922119140625e-05
0.0012892,2.27582397460938e-05
0.0012893,4.63649597167969e-05
0.0012894,3.89849853515625e-05
0.0012895,3.54070739746094e-05
0.0012896,4.36184997558594e-05
0.0012897,4.15963439941406e-05
0.0012898,3.62257690429688e-05
0.0012899,2.88738098144531e-05
0.00129,3.43647766113281e-05
0.0012901,2.47975158691406e-05
0.0012902,3.69315185546875e-05
0.0012903,4.54924011230469e-05
0.0012904,2.763623046875e-05
0.0012905,3.18666687011719e-05
0.0012906,3.56448059082031e-05
0.0012907,3.07635192871094e-05
0.0012908,2.77157592773438e-05
0.0012909,2.09810791015625e-05
0.001291,2.7864990234375e-05
0.0012911,3.79780883789063e-05
0.0012912,4.96393737792969e-05
0.0012913,2.82015686035156e-05
0.0012914,3.55045166015625e-05
0.0012915,3.04411010742187e-05
0.0012916,2.97308044433594e-05
0.0012917,3.72705383300781e-05
0.0012918,3.92896423339844e-05
0.0012919,3.527197265625e-05
0.001292,2.74807739257813e-05
0.0012921,3.38134460449219e-05
0.0012922,3.64499206542969e-05
0.0012923,3.82639770507812e-05
0.0012924,4.14065246582031e-05
0.0012925,2.93834228515625e-05
0.0012926,3.95620422363281e-05
0.0012927,3.01596984863281e-05
0.0012928,3.24790954589844e-05
0.0012929,2.98544006347656e-05
0.001293,3.56188354492188e-05
0.0012931,3.35488586425781e-05
0.0012932,3.42908020019531e-05
0.0012933,3.23080444335937e-05
0.0012934,2.24093322753906e-05
0.0012935,3.20097351074219e-05
0.0012936,2.88708190917969e-05
0.0012937,4.01728820800781e-05
0.0012938,3.37540588378906e-05
0.0012939,4.9100341796875e-05
0.001294,3.272412109375e-05
0.0012941,2.86826782226562e-05
0.0012942,2.57588500976562e-05
0.0012943,2.58707885742187e-05
0.0012944,4.05025329589844e-05
0.0012945,4.65232238769531e-05
0.0012946,3.42704467773437e-05
0.0012947,2.39481201171875e-05
0.0012948,3.53744812011719e-05
0.0012949,2.54254760742188e-05
0.001295,3.76302185058594e-05
0.0012951,2.44235534667969e-05
0.0012952,3.6501953125e-05
0.0012953,4.04310607910156e-05
0.0012954,2.09082336425781e-05
0.0012955,3.49901123046875e-05
0.0012956,2.52800598144531e-05
0.0012957,2.92037353515625e-05
0.0012958,3.83510131835937e-05
0.0012959,4.50123901367187e-05
0.001296,2.52418823242187e-05
0.0012961,1.83560180664062e-05
0.0012962,3.57142028808594e-05
0.0012963,3.84793090820313e-05
0.0012964,2.98902282714844e-05
0.0012965,1.74441223144531e-05
0.0012966,3.92288513183594e-05
0.0012967,4.52930603027344e-05
0.0012968,4.86723327636719e-05
0.0012969,3.19617309570313e-05
0.001297,1.91984252929688e-05
0.0012971,2.57646484375e-05
0.0012972,4.61243286132812e-05
0.0012973,3.46920166015625e-05
0.0012974,2.18406982421875e-05
0.0012975,3.18630981445313e-05
0.0012976,3.7775634765625e-05
0.0012977,3.61581420898438e-05
0.0012978,3.32462158203125e-05
0.0012979,3.736474609375e-05
0.001298,2.83554077148438e-05
0.0012981,3.77065124511719e-05
0.0012982,4.288720703125e-05
0.0012983,2.46685180664063e-05
0.0012984,4.26748657226562e-05
0.0012985,4.75891418457031e-05
0.0012986,3.974658203125e-05
0.0012987,3.40444946289062e-05
0.0012988,3.3497314453125e-05
0.0012989,3.29372863769531e-05
0.001299,4.2340576171875e-05
0.0012991,2.50118408203125e-05
0.0012992,3.83746643066406e-05
0.0012993,3.33483581542969e-05
0.0012994,4.05809631347656e-05
