t,LDV
0.0011566,8.59327392578125e-05
0.0011567,8.05281372070312e-05
0.0011568,6.94423828125e-05
0.0011569,6.79172668457031e-05
0.001157,6.24937744140625e-05
0.0011571,4.41434631347656e-05
0.0011572,3.41441040039062e-05
0.0011573,2.94386596679688e-05
0.0011574,1.78749389648438e-05
0.0011575,1.91096496582031e-05
0.0011576,2.38088684082031e-05
0.0011577,1.35964050292969e-05
0.0011578,1.35726623535156e-05
0.0011579,2.21234741210938e-05
0.001158,2.60982666015625e-05
0.0011581,1.8494873046875e-05
0.0011582,2.264111328125e-05
0.0011583,2.50167236328125e-05
0.0011584,2.77791442871094e-05
0.0011585,3.43236694335938e-05
0.0011586,4.94659423828125e-05
0.0011587,5.05393981933594e-05
0.0011588,4.91749267578125e-05
0.0011589,5.54685668945312e-05
0.001159,5.92474365234375e-05
0.0011591,6.25990295410156e-05
0.0011592,7.63024291992188e-05
0.0011593,8.97612609863281e-05
0.0011594,0.000100551239013672
0.0011595,9.84253540039062e-05
0.0011596,9.68264465332031e-05
0.0011597,0.000113245361328125
0.0011598,0.000122801025390625
0.0011599,0.000130774475097656
0.00116,0.000144022796630859
0.0011601,0.000143996490478516
0.0011602,0.000130452789306641
0.0011603,0.000106586334228516
0.0011604,8.97235717773437e-05
0.0011605,5.27311401367188e-05
0.0011606,4.62326354980469e-05
0.0011607,2.17229919433594e-05
0.0011608,6.86001586914062e-06
0.0011609,-1.03507385253906e-05
0.001161,-1.39629516601563e-05
0.0011611,-1.94324951171875e-05
0.0011612,-8.36190795898437e-06
0.0011613,-1.21502990722656e-05
0.0011614,-5.0076904296875e-06
0.0011615,9.82687377929687e-06
0.0011616,2.23470764160156e-05
0.0011617,4.4047119140625e-05
0.0011618,4.94853820800781e-05
0.0011619,2.73900146484375e-05
0.001162,3.32792053222656e-05
0.0011621,4.08861083984375e-05
0.0011622,2.10567626953125e-05
0.0011623,1.14082641601562e-05
0.0011624,-4.41433715820312e-06
0.0011625,-2.321044921875e-06
0.0011626,-5.9681396484375e-06
0.0011627,4.64263916015625e-06
0.0011628,1.49793090820313e-05
0.0011629,3.20903625488281e-05
0.001163,4.76715698242187e-05
0.0011631,6.43711242675781e-05
0.0011632,9.08683166503906e-05
0.0011633,0.000114819091796875
0.0011634,0.000124449157714844
0.0011635,0.0001219697265625
0.0011636,0.000124516448974609
0.0011637,0.000125506500244141
0.0011638,0.000117016906738281
0.0011639,9.37437438964844e-05
0.001164,9.59468078613281e-05
0.0011641,9.434765625e-05
0.0011642,8.44910278320313e-05
0.0011643,8.10697021484375e-05
0.0011644,7.31558532714844e-05
0.0011645,5.67843933105469e-05
