t,V10,V25,V50,V75,V100,V125,V150,V175,V200
0.000671,1.13711547851563e-05,3.910400390625e-05,6.23957824707031e-05,7.88421630859375e-05,7.44892883300781e-05,9.21749877929687e-05,6.45608520507813e-05,8.45005798339844e-05,8.82066345214844e-05
0.0006711,4.13790893554688e-05,2.221435546875e-05,5.07878112792969e-05,0.000101844787597656,0.000100246429443359,8.63565063476563e-05,0.000116290283203125,0.000117995758056641,0.000142640686035156
0.0006712,3.13191223144531e-05,4.88468933105469e-05,7.88215637207031e-05,7.92262268066406e-05,0.000121823577880859,0.000132399597167969,0.000126547393798828,0.000126111907958984,0.000167993011474609
0.0006713,2.61383056640625e-06,6.23365783691406e-05,9.67105102539063e-05,6.50776672363281e-05,0.000134490051269531,0.000164340362548828,0.000150752105712891,0.000179033203125,0.000184564056396484
0.0006714,3.51654052734375e-05,6.842529296875e-05,0.000101302185058594,0.000130529479980469,0.000165682220458984,0.000173133697509766,0.000176729736328125,0.000166661987304688,0.000203910064697266
0.0006715,2.60818481445313e-05,5.52505493164062e-05,8.21995544433594e-05,0.000130161590576172,0.000158267669677734,0.000162713775634766,0.000172378082275391,0.000204867706298828,0.00022777099609375
0.0006716,3.35777282714844e-05,4.80288696289062e-05,9.23077392578125e-05,0.000129354248046875,0.000145978851318359,0.000157942810058594,0.000175208129882812,0.000184817657470703,0.000210589904785156
0.0006717,4.36851501464844e-05,7.37178039550781e-05,9.08486938476562e-05,9.02505493164063e-05,0.000113269958496094,0.000148550872802734,0.000135247039794922,0.000151868133544922,0.000188528137207031
0.0006718,3.06806945800781e-05,5.74992370605469e-05,8.38404846191406e-05,0.000103361968994141,0.000133418121337891,0.000131696472167969,0.000137819976806641,0.000140713195800781,0.000141471862792969
0.0006719,2.02789306640625e-06,2.08740234375e-05,5.68008422851563e-05,6.20851135253906e-05,8.09463500976562e-05,0.000109417572021484,7.33486938476563e-05,0.000107987823486328,0.000108404693603516
0.000672,4.50128173828125e-05,4.994384765625e-05,7.14413452148438e-05,7.4013671875e-05,7.34483337402344e-05,7.87092590332031e-05,7.4451904296875e-05,8.27459716796875e-05,0.000101109924316406
0.0006721,3.58717346191406e-05,3.21434020996094e-05,6.86749267578125e-05,4.552978515625e-05,5.01811218261719e-05,6.39166259765625e-05,3.95976257324219e-05,4.51998901367187e-05,6.30221557617187e-05
0.0006722,1.390380859375e-05,3.56619262695313e-05,4.02798461914063e-05,3.75465393066406e-05,5.59443664550781e-05,2.13235473632813e-05,7.04833984375e-06,3.0899658203125e-05,1.26008605957031e-05
0.0006723,3.82035827636719e-05,7.85003662109375e-06,3.55661010742188e-05,2.690185546875e-05,3.17974853515625e-05,2.75033569335938e-05,-2.17864990234375e-05,-3.16889953613281e-05,1.09207153320313e-06
0.0006724,3.04754638671875e-05,2.26463317871094e-05,2.01287841796875e-05,7.40951538085937e-06,-1.42323303222656e-05,5.6365966796875e-07,-2.97599792480469e-05,-3.77392578125e-05,-5.17431640625e-05
0.0006725,4.91775512695313e-06,3.78488159179687e-05,2.58294677734375e-05,-9.442138671875e-06,2.44572448730469e-05,-2.53471374511719e-05,-3.99270629882812e-05,-6.88365173339844e-05,-6.69502258300781e-05
0.0006726,-5.5548095703125e-06,1.57330322265625e-05,1.17640686035156e-05,1.28662109375e-05,-6.61605834960938e-06,-2.75379943847656e-05,-3.38233947753906e-05,-6.12489318847656e-05,-6.16778564453125e-05
0.0006727,3.45118713378906e-05,-2.39669799804688e-06,3.0286865234375e-05,1.62237548828125e-05,-1.0665283203125e-05,-2.62590026855469e-05,-3.60189819335937e-05,-5.91868591308594e-05,-5.54254150390625e-05
0.0006728,1.438720703125e-05,2.26942443847656e-05,2.03129577636719e-05,1.49151611328125e-05,1.90902709960938e-05,-1.04095458984375e-06,-3.70095825195313e-05,-5.80680847167969e-05,-7.73381042480469e-05
0.0006729,3.26385498046875e-07,1.7364501953125e-05,5.33010864257813e-05,7.4273681640625e-06,-8.74053955078125e-06,-2.42254638671875e-05,-3.91265869140625e-05,-5.7999267578125e-05,-6.01860046386719e-05
0.000673,1.06806945800781e-05,2.19197082519531e-05,9.425048828125e-06,7.06146240234375e-06,-5.94558715820313e-06,-1.21920776367188e-05,-3.94441223144531e-05,-5.92344665527344e-05,-9.28179931640625e-05
0.0006731,-8.25775146484375e-06,1.04100036621094e-05,4.44137573242187e-06,-2.0416259765625e-07,-1.35882568359375e-05,-4.21308898925781e-05,-6.56709289550781e-05,-6.37184143066406e-05,-8.95506286621094e-05
0.0006732,1.11732482910156e-05,3.06166076660156e-05,3.69232177734375e-06,-9.40444946289063e-06,-4.82131958007813e-06,-5.53070068359375e-05,-8.41453552246094e-05,-6.78759765625e-05,-7.83137512207031e-05
0.0006733,3.4649658203125e-05,3.24234008789063e-05,1.6357421875e-05,5.2734375e-07,-7.39288330078125e-06,-3.64292907714844e-05,-7.95578002929687e-05,-8.24723815917969e-05,-8.37504577636719e-05
0.0006734,8.09341430664062e-06,8.61541748046875e-06,5.79940795898437e-06,8.73443603515625e-06,-8.21914672851563e-06,-4.82545471191406e-05,-6.75711059570313e-05,-6.25814819335938e-05,-6.80329895019531e-05
0.0006735,8.935546875e-06,2.01156616210938e-05,3.0821533203125e-05,2.42074584960937e-05,-2.37962341308594e-05,-3.75006103515625e-05,-1.13323974609375e-05,-3.52850341796875e-05,-8.11038208007813e-05
0.0006736,3.4306640625e-05,2.51078796386719e-05,1.16128540039062e-05,1.98860168457031e-05,7.97500610351563e-06,2.96824645996094e-05,-3.49508666992188e-05,-3.40757751464844e-05,-5.93539428710938e-05
0.0006737,2.88883972167969e-05,3.55203247070313e-05,2.61334228515625e-05,3.26666259765625e-05,2.94221496582031e-05,1.69558715820313e-05,-1.82720947265625e-05,-1.97189331054688e-06,-2.68161010742187e-05
0.0006738,1.42369079589844e-05,3.37171936035156e-05,3.01148986816406e-05,3.23933410644531e-05,3.3045654296875e-05,1.35467529296875e-06,-5.60104370117188e-06,9.43527221679688e-06,-2.58854675292969e-05
0.0006739,4.12908935546875e-05,4.8353271484375e-05,6.72874450683594e-05,2.58731079101563e-05,5.66305541992188e-05,3.28311157226563e-05,1.17515563964844e-05,1.84214782714844e-05,-1.96334838867188e-06
0.000674,4.08921813964844e-05,2.5784912109375e-05,5.28129577636719e-05,6.70137023925781e-05,6.91661071777344e-05,7.06594848632813e-05,2.249267578125e-05,1.96116638183594e-05,4.99250793457031e-05
0.0006741,3.214111328125e-05,2.88133239746094e-05,3.88510131835938e-05,4.73049926757812e-05,3.57861328125e-05,8.01249694824219e-05,3.27790832519531e-05,6.20149230957031e-05,5.10910034179688e-05
0.0006742,2.50898742675781e-05,1.80726623535156e-05,5.24118041992188e-05,9.29205322265625e-05,7.64276123046875e-05,5.80973815917969e-05,4.51687622070312e-05,5.36900329589844e-05,7.28755187988281e-05
0.0006743,3.37603759765625e-05,3.85525512695313e-05,6.79414367675781e-05,8.55262756347656e-05,5.31080627441406e-05,7.0125732421875e-05,4.05943298339844e-05,6.89596557617188e-05,9.24421691894531e-05
